Mes,Departamento,Departamento_join,CIIU,fob_total,kg_total
1,Antioquia,ANTIOQUIA,Actividades de impresión,15437.84,1427.21
1,Antioquia,ANTIOQUIA,Artes plásticas y visuales,10850,1087
1,Antioquia,ANTIOQUIA,"Aserrado, acepillado e impregnación de la madera",25711.06,29425
1,Antioquia,ANTIOQUIA,"Confección de artículos con materiales textiles, excepto prendas de vestir",719904.01,73624.68
1,Antioquia,ANTIOQUIA,"Confección de prendas de vestir, excepto prendas de piel",12323278.26,238585.91
1,Antioquia,ANTIOQUIA,Cría de caballos y otros equinos,26600,2700
1,Antioquia,ANTIOQUIA,Cría de ganado bovino y bufalino,2677.05,6
1,Antioquia,ANTIOQUIA,Cría de otros animales n.c.p.,26463.46,263.6
1,Antioquia,ANTIOQUIA,"Cultivo de cereales (excepto arroz), legumbres y semillas oleaginosas",136408.12,54412.63
1,Antioquia,ANTIOQUIA,Cultivo de especias y de plantas aromáticas y medicinales,848296.0200000001,159875.16999999998
1,Antioquia,ANTIOQUIA,Cultivo de flor de corte,27282168.14,5656685.63
1,Antioquia,ANTIOQUIA,Cultivo de frutas tropicales y subtropicales,11827475.51,5847087.89
1,Antioquia,ANTIOQUIA,"Cultivo de hortalizas, raíces y tubérculos",536240.3099999999,409125.36
1,Antioquia,ANTIOQUIA,Cultivo de plantas con las que se preparan bebidas,906,540
1,Antioquia,ANTIOQUIA,Cultivo de plátano y banano,66143202.65,120040875.7
1,Antioquia,ANTIOQUIA,Curtido y recurtido de cueros; recurtido y teñido de pieles,237833.93,138321.35
1,Antioquia,ANTIOQUIA,"Descafeinado, tostión y molienda del café",5316314.589999999,601898.89
1,Antioquia,ANTIOQUIA,"Destilación, rectificación y mezcla de bebidas alcohólicas",436432.24,133719.49
1,Antioquia,ANTIOQUIA,Edición de libros,18749.73,2448.47
1,Antioquia,ANTIOQUIA,Elaboración de alimentos preparados para animales,968099.49,615838
1,Antioquia,ANTIOQUIA,Elaboración de almidones y productos derivados del almidón,39959.72,27642.95
1,Antioquia,ANTIOQUIA,"Elaboración de bebidas no alcohólicas, producción de aguas minerales y de otras aguas embotelladas",1447143.87,2008800.64
1,Antioquia,ANTIOQUIA,"Elaboración de cacao, chocolate y productos de confitería",6142465.94,922882.17
1,Antioquia,ANTIOQUIA,Elaboración de otros productos alimenticios n.c.p.,2056358.93,492267.9
1,Antioquia,ANTIOQUIA,Elaboración de panela,143783.42,86272.36
1,Antioquia,ANTIOQUIA,Elaboración de productos de molinería,964114.45,1156128.03
1,Antioquia,ANTIOQUIA,Elaboración de productos de panadería,4001951.65,1412985.3699999999
1,Antioquia,ANTIOQUIA,Elaboración de productos lácteos,3067965.56,973456.44
1,Antioquia,ANTIOQUIA,Extracción de hulla (carbón de piedra),5372400,48400000
1,Antioquia,ANTIOQUIA,Extracción de madera,30060.25,171000
1,Antioquia,ANTIOQUIA,Extracción de minerales para la fabricación de abonos y productos químicos,632.99,220
1,Antioquia,ANTIOQUIA,Extracción de oro y otros metales preciosos,25089449.7,2755472.07
1,Antioquia,ANTIOQUIA,"Extracción de piedra, arena, arcillas comunes, yeso y anhidrita",231790.49,1286025
1,Antioquia,ANTIOQUIA,Fabricación de abonos y compuestos inorgánicos nitrogenados,99553.27,353495.6
1,Antioquia,ANTIOQUIA,"Fabricación de aeronaves, naves espaciales y de maquinaria conexa",30774.77,36.57
1,Antioquia,ANTIOQUIA,Fabricación de aparatos de distribución y control de la energía eléctrica,990708.8,31816.07
1,Antioquia,ANTIOQUIA,Fabricación de aparatos de uso doméstico,1398638.14,268205.8
1,Antioquia,ANTIOQUIA,Fabricación de aparatos electrónicos de consumo,10016,3601.54
1,Antioquia,ANTIOQUIA,"Fabricación de artículos de cuchillería, herramientas de mano y artículos de ferretería",975928.99,169226.43
1,Antioquia,ANTIOQUIA,"Fabricación de artículos de hormigón, cemento y yeso",24858.69,9091.2
1,Antioquia,ANTIOQUIA,Fabricación de artículos de plástico n.c.p.,2345199.45,386663.22
1,Antioquia,ANTIOQUIA,Fabricación de artículos de punto y ganchillo,1305279.28,24991.13
1,Antioquia,ANTIOQUIA,"Fabricación de artículos de viaje, bolsos de mano y artículos similares elaborados en cuero, y fabricación de artículos de talabartería y guarnicionería",315593.99,6888.07
1,Antioquia,ANTIOQUIA,"Fabricación de artículos de viaje, bolsos de mano y artículos similares; artículos de talabartería y guarnicionería elaborados en otros materiales",209806.63,3987.6
1,Antioquia,ANTIOQUIA,Fabricación de artículos y equipo para la práctica del deporte,7985.6500000000005,837.44
1,Antioquia,ANTIOQUIA,Fabricación de bicicletas y de sillas de ruedas para personas con discapacidad,734.5,57.89
1,Antioquia,ANTIOQUIA,"Fabricación de calzado de cuero y piel, con cualquier tipo de suela",279477.66,7791.72
1,Antioquia,ANTIOQUIA,Fabricación de carrocerías para vehículos automotores; fabricación de remolques y semirremolques,161467.53,26518.41
1,Antioquia,ANTIOQUIA,"Fabricación de cemento, cal y yeso",14507,69000
1,Antioquia,ANTIOQUIA,"Fabricación de cojinetes, engranajes, trenes de engranajes y piezas de transmisión",242840.84,14819.11
1,Antioquia,ANTIOQUIA,Fabricación de colchones y somieres,128677.87,25036.7
1,Antioquia,ANTIOQUIA,Fabricación de componentes y tableros electrónicos,29290.22,377.33000000000004
1,Antioquia,ANTIOQUIA,Fabricación de computadoras y de equipo periférico,22250.23,95.22
1,Antioquia,ANTIOQUIA,"Fabricación de cuerdas, cordeles, cables, bramantes y redes",257288.25999999998,70921.06
1,Antioquia,ANTIOQUIA,Fabricación de dispositivos de cableado,90605.87,13879.71
1,Antioquia,ANTIOQUIA,Fabricación de equipo de elevación y manipulación,1261932.27,107951.49
1,Antioquia,ANTIOQUIA,"Fabricación de equipo de medición, prueba, navegación y control",76168.14,584.7
1,Antioquia,ANTIOQUIA,Fabricación de equipos de comunicación,76632.34,962.0699999999999
1,Antioquia,ANTIOQUIA,Fabricación de equipos de potencia hidráulica y neumática,6525.85,118.06
1,Antioquia,ANTIOQUIA,Fabricación de equipos eléctricos de iluminación,67433.22,2121.07
1,Antioquia,ANTIOQUIA,Fabricación de fibras sintéticas y artificiales,1492289.84,621525.33
1,Antioquia,ANTIOQUIA,Fabricación de formas básicas de caucho y otros productos de caucho n.c.p.,701294.92,86711.59999999999
1,Antioquia,ANTIOQUIA,Fabricación de formas básicas de plástico,2473172.54,502669.77999999997
1,Antioquia,ANTIOQUIA,Fabricación de herramientas manuales con motor,35896.8,461.82
1,Antioquia,ANTIOQUIA,"Fabricación de hojas de madera para enchapado; fabricación de tableros contrachapados, tableros laminados, tableros de partículas y otros tableros y paneles",35530.27,43654.51
1,Antioquia,ANTIOQUIA,"Fabricación de hornos, hogares y quemadores industriales",107054.15,4400.3
1,Antioquia,ANTIOQUIA,Fabricación de instrumentos ópticos y equipo fotográfico,253.1,6.33
1,Antioquia,ANTIOQUIA,"Fabricación de instrumentos, aparatos y materiales médicos y odontológicos (incluido mobiliario)",614573.11,26421.579999999998
