Mes,Departamento,Departamento_join,fob_total,kg_total,Nivel tecnologico,fob_tecnologia,Pais,fob_pais,CIIU,fob_ciiu
1,Antioquia,ANTIOQUIA,676267695.21,243296747.28,Otras transacciones,289599499.33,Estados Unidos,238875661.96,Industrias básicas de metales preciosos,225166288.03
1,Arauca,ARAUCA,59922,20934.5,Manufacturas de baja tecnología,58922,Perú,29920,Fabricación de artículos de plástico n.c.p.,58922
1,Atlántico,ATLANTICO,153627589.9699999,41164680.99,Manufacturas de baja tecnología,72995153.34999992,Estados Unidos,80479483.24999991,Fabricación de productos metálicos para uso estructural,49837211.88999991
1,Bogotá,BOGOTA D.C.,401406479.9300002,122831129.66,Bienes primarios,192870191.30000022,Estados Unidos,172193946.80000022,Cultivo de flor de corte,88523843.6400002
1,Bolívar,BOLIVAR,227397335.87,245384196.45,Manufacturas de tecnología media,104773063.73,Estados Unidos,80304444.89,Fabricación de plásticos en formas primarias,65117744.760000005
1,Boyacá,BOYACA,33553101.380000003,97932746.52,Manufacturas basadas en recursos naturales,32183849.790000003,Brasil,20288165.53,Fabricación de productos de hornos de coque,27732485.3
1,Caldas,CALDAS,119939484.00999999,21371996.3,Bienes primarios,96830902.42999999,Estados Unidos,28702095.11,Trilla de café,79356537.69
1,Caquetá,CAQUETA,41571.98,20213.8,Bienes primarios,38304,Venezuela,38304,Recolección de productos forestales diferentes a la madera,38304
1,Casanare,CASANARE,23866222,47967118,Bienes primarios,23698808,Panamá,18468948,Extracción de petróleo crudo,23698808
1,Cauca,CAUCA,17379122.72,18756938.37,Manufacturas basadas en recursos naturales,11279073.6,Estados Unidos,8212240.89,Elaboración y refinación de azúcar,7686912.1899999995
1,Cesar,CESAR,168035100.47,1744246549.23,Bienes primarios,167636052.77,Países Bajos,35994770.62,Extracción de hulla (carbón de piedra),167335426.60999998
1,Chocó,CHOCO,1910161.24,2216294.21,Otras transacciones,969776.42,Turquía,969776.42,Industrias básicas de metales preciosos,1245080.3800000001
1,Cundinamarca,CUNDINAMARCA,185674259.1700001,131416756.36,Bienes primarios,94873940.47000009,Estados Unidos,74369289.22000009,Cultivo de flor de corte,72836981.2100001
1,Córdoba,CORDOBA,50613038.18,63696143.4,Manufacturas de tecnología media,34633068.37,China,17329601.34,Industrias básicas de hierro y de acero,34633068.37
1,Guainía,GUAINIA,81026.15,7533,Bienes primarios,68582.15,Estados Unidos,30430,Cultivo de flor de corte,68582.15
1,Guajira,LA GUAJIRA,6658331.42,62343537.15,Bienes primarios,5949327.69,Reino Unido,5665950.53,Extracción de hulla (carbón de piedra),5665950.53
