Mes,Departamento,Departamento_join,Nivel tecnologico,fob_total,kg_total
1,Antioquia,ANTIOQUIA,Bienes primarios,266214721.85999998,204444095.81
1,Antioquia,ANTIOQUIA,Manufacturas basadas en recursos naturales,35918401.82,16560114.75
1,Antioquia,ANTIOQUIA,Manufacturas de alta tecnología,7073716.7,829660.4
1,Antioquia,ANTIOQUIA,Manufacturas de baja tecnología,42203008.53,7618825.7
1,Antioquia,ANTIOQUIA,Manufacturas de tecnología media,33989012.21,13762121.959999999
1,Antioquia,ANTIOQUIA,Otras transacciones,289599499.33,14407.05
1,Arauca,ARAUCA,Manufacturas de baja tecnología,58922,20878.5
1,Arauca,ARAUCA,Manufacturas de tecnología media,1000,56
1,Atlántico,ATLANTICO,Bienes primarios,4068850.8000000003,2895248.36
1,Atlántico,ATLANTICO,Manufacturas basadas en recursos naturales,47356592.64,17538797.01
1,Atlántico,ATLANTICO,Manufacturas de alta tecnología,7684096.51,1919312.77
1,Atlántico,ATLANTICO,Manufacturas de baja tecnología,72995153.34999992,12028776.22
1,Atlántico,ATLANTICO,Manufacturas de tecnología media,21501366.16,6780617.9399999995
1,Atlántico,ATLANTICO,Otras transacciones,495.83,517.63
1,Bogotá,BOGOTA D.C.,Bienes primarios,192870191.30000022,25333268.85
1,Bogotá,BOGOTA D.C.,Manufacturas basadas en recursos naturales,87379922.15,84068313.62
1,Bogotá,BOGOTA D.C.,Manufacturas de alta tecnología,24576776.28,557165.48
1,Bogotá,BOGOTA D.C.,Manufacturas de baja tecnología,33581799.86,4476967.65
1,Bogotá,BOGOTA D.C.,Manufacturas de tecnología media,54626042.05,7533562.84
1,Bogotá,BOGOTA D.C.,Otras transacciones,4459798.89,689849.67
1,Bolívar,BOLIVAR,Bienes primarios,90711113.22,159424818.52
1,Bolívar,BOLIVAR,Manufacturas basadas en recursos naturales,15225767.64,13925788.22
1,Bolívar,BOLIVAR,Manufacturas de alta tecnología,862181.62,13176.55
1,Bolívar,BOLIVAR,Manufacturas de baja tecnología,15436113.01,3840918.9
1,Bolívar,BOLIVAR,Manufacturas de tecnología media,104773063.73,68163902.25
1,Bolívar,BOLIVAR,Otras transacciones,279534.64,1263.15
1,Boyacá,BOYACA,Bienes primarios,1339201.63,451347.92
1,Boyacá,BOYACA,Manufacturas basadas en recursos naturales,32183849.790000003,97479421.57
1,Boyacá,BOYACA,Manufacturas de alta tecnología,1118,98.63
1,Boyacá,BOYACA,Manufacturas de baja tecnología,25895.7,1706.55
1,Boyacá,BOYACA,Manufacturas de tecnología media,3036.2599999999998,171.85
1,Caldas,CALDAS,Bienes primarios,96830902.42999999,13499468.42
1,Caldas,CALDAS,Manufacturas basadas en recursos naturales,10604172.67,5196697.01
1,Caldas,CALDAS,Manufacturas de alta tecnología,598232.6900000001,34868.45
1,Caldas,CALDAS,Manufacturas de baja tecnología,2509349.44,617977.2000000001
1,Caldas,CALDAS,Manufacturas de tecnología media,9396629.07,2022980.55
1,Caldas,CALDAS,Otras transacciones,76.99000000000001,3.41
1,Caquetá,CAQUETA,Bienes primarios,38304,20160
1,Caquetá,CAQUETA,Manufacturas de baja tecnología,3267.98,53.8
1,Casanare,CASANARE,Bienes primarios,23698808,47965218
1,Casanare,CASANARE,Manufacturas de tecnología media,167414,1900
1,Cauca,CAUCA,Bienes primarios,3659049.68,556752
