Mes,Pais,Pais_join,CIIU,fob_total,kg_total
1,Alemania,ALEMANIA,Acuicultura de agua dulce,10648.32,918.6
1,Alemania,ALEMANIA,"Confección de artículos con materiales textiles, excepto prendas de vestir",44925.78,4546
1,Alemania,ALEMANIA,"Confección de prendas de vestir, excepto prendas de piel",214575.13999999998,2585.2599999999998
1,Alemania,ALEMANIA,Cultivo de flor de corte,112098.52,18307.36
1,Alemania,ALEMANIA,Cultivo de frutas tropicales y subtropicales,779216.57,220840.95
1,Alemania,ALEMANIA,Cultivo de plantas con las que se preparan bebidas,57002.66,7500
1,Alemania,ALEMANIA,Cultivo de plátano y banano,10903129.95,21655547.75
1,Alemania,ALEMANIA,"Elaboración de cacao, chocolate y productos de confitería",990010.8,100074.46
1,Alemania,ALEMANIA,Elaboración de otros productos alimenticios n.c.p.,53.95,11.28
1,Alemania,ALEMANIA,Elaboración de panela,19500,25000
1,Alemania,ALEMANIA,Elaboración y refinación de azúcar,310720.2,319000
1,Alemania,ALEMANIA,Extracción de otros minerales no metálicos n.c.p.,17704.03,45350
1,Alemania,ALEMANIA,Fabricación de aparatos de distribución y control de la energía eléctrica,2976.62,8.95
1,Alemania,ALEMANIA,"Fabricación de artículos de cuchillería, herramientas de mano y artículos de ferretería",268.32,6.81
1,Alemania,ALEMANIA,Fabricación de artículos de plástico n.c.p.,885916.89,24366.27
1,Alemania,ALEMANIA,"Fabricación de artículos de viaje, bolsos de mano y artículos similares; artículos de talabartería y guarnicionería elaborados en otros materiales",172.32,2
1,Alemania,ALEMANIA,"Fabricación de cojinetes, engranajes, trenes de engranajes y piezas de transmisión",7.05,0.37
1,Alemania,ALEMANIA,"Fabricación de equipo de medición, prueba, navegación y control",118516.62999999999,3380.6
1,Alemania,ALEMANIA,Fabricación de equipos de potencia hidráulica y neumática,83282.02,5194.8
1,Alemania,ALEMANIA,Fabricación de formas básicas de caucho y otros productos de caucho n.c.p.,37.61,0.03
1,Alemania,ALEMANIA,Fabricación de formas básicas de plástico,237548.33,70784.56
1,Alemania,ALEMANIA,Fabricación de hilos y cables eléctricos y de fibra óptica,1227.33,0.2
1,Alemania,ALEMANIA,Fabricación de instrumentos ópticos y equipo fotográfico,10452.07,15.5
1,Alemania,ALEMANIA,"Fabricación de instrumentos, aparatos y materiales médicos y odontológicos (incluido mobiliario)",53244.65,100.8
1,Alemania,ALEMANIA,"Fabricación de jabones y detergentes, preparados para limpiar y pulir; perfumes y preparados de tocador",120473.65,22616.88
1,Alemania,ALEMANIA,"Fabricación de joyas, bisutería y artículos conexos",48258.82,137.85
1,Alemania,ALEMANIA,Fabricación de maquinaria para explotación de minas y canteras y para obras de construcción,20,24
1,Alemania,ALEMANIA,"Fabricación de motores, generadores y transformadores eléctricos",3325.66,28
1,Alemania,ALEMANIA,Fabricación de muebles,414.9,83.02000000000001
1,Alemania,ALEMANIA,Fabricación de máquinas formadoras de metal y de máquinas herramienta,7386.92,15.74
1,Alemania,ALEMANIA,"Fabricación de otras bombas, compresores, grifos y válvulas",80498.07,5291.45
1,Alemania,ALEMANIA,Fabricación de otros artículos de papel y cartón,203130.68000000002,54020.48
1,Alemania,ALEMANIA,Fabricación de otros productos elaborados de metal n.c.p.,27512.1,2195.15
1,Alemania,ALEMANIA,Fabricación de otros productos minerales no metálicos n.c.p.,8099,20000
1,Alemania,ALEMANIA,Fabricación de otros productos químicos n.c.p.,108828.17,24000
1,Alemania,ALEMANIA,Fabricación de otros tipos de equipo eléctrico n.c.p.,11550,25.8
1,Alemania,ALEMANIA,Fabricación de otros tipos de maquinaria y equipo de uso especial n.c.p.,175.1,96
1,Alemania,ALEMANIA,Fabricación de otros tipos de maquinaria y equipo de uso general n.c.p.,26404.58,3301.6
1,Alemania,ALEMANIA,"Fabricación de papel y cartón ondulado (corrugado); fabricación de envases, empaques y de embalajes de papel y cartón.",0.8400000000000001,0.37
1,Alemania,ALEMANIA,"Fabricación de pilas, baterías y acumuladores eléctricos",56766.06,16378
1,Alemania,ALEMANIA,Fabricación de plaguicidas y otros productos químicos de uso agropecuario,88513.65000000001,1411
1,Alemania,ALEMANIA,Fabricación de productos de hornos de coque,743230.43,12252270
1,Alemania,ALEMANIA,Fabricación de productos de la refinación del petróleo,1025656.4,1285303.49
1,Alemania,ALEMANIA,"Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico",69101.11,3717.99
1,Alemania,ALEMANIA,Fabricación de pulpas (pastas) celulósicas; papel y cartón,85.3,77.16
1,Alemania,ALEMANIA,Fabricación de sustancias y productos químicos básicos,463832.88,379500
1,Alemania,ALEMANIA,Fabricación de vidrio y productos de vidrio,222326.91,6268.570000000001
1,Alemania,ALEMANIA,Fundición de hierro y de acero,2.69,1
1,Alemania,ALEMANIA,Industrias básicas de otros metales no ferrosos,3.8,2
1,Alemania,ALEMANIA,Otras industrias manufactureras n.c.p.,68925.4,3131.25
1,Alemania,ALEMANIA,Otros cultivos permanentes n.c.p.,14009.43,12270
1,Alemania,ALEMANIA,Otros derivados del café,1081345,75250
1,Alemania,ALEMANIA,Procesamiento y conservación de carne y productos cárnicos,12371.63,23337
1,Alemania,ALEMANIA,"Procesamiento y conservación de frutas, legumbres, hortalizas y tubérculos",135880.15,63068.5
1,Alemania,ALEMANIA,"Procesamiento y conservación de pescados, crustáceos y moluscos",28548,21960
1,Alemania,ALEMANIA,Trilla de café,32735428.229999997,4904472
1,Angola,ANGOLA,Elaboración de productos de panadería,81840,39283.2
1,Antigua Y Barbuda,ANTIGUA Y BARBUDA,"Fabricación de jabones y detergentes, preparados para limpiar y pulir; perfumes y preparados de tocador",1335.67,400
1,Antigua Y Barbuda,ANTIGUA Y BARBUDA,Fabricación de otros artículos de papel y cartón,20494.85,4697.5
1,Arabia Saudita,ARABIA SAUDITA,"Confección de prendas de vestir, excepto prendas de piel",74324.84,536.83
1,Arabia Saudita,ARABIA SAUDITA,Cría de ganado bovino y bufalino,27777452.44,13337810
1,Arabia Saudita,ARABIA SAUDITA,Cultivo de flor de corte,73201.48,12974.02
1,Arabia Saudita,ARABIA SAUDITA,Cultivo de frutas tropicales y subtropicales,34019.869999999995,3457.9
1,Arabia Saudita,ARABIA SAUDITA,Cultivo de plátano y banano,302,120
1,Arabia Saudita,ARABIA SAUDITA,"Elaboración de cacao, chocolate y productos de confitería",78050,9000
1,Arabia Saudita,ARABIA SAUDITA,Elaboración de otros productos alimenticios n.c.p.,19366.17,4860
