Mes,Pais,Pais_join,fob_total,kg_total,CIIU,fob_ciiu
1,Alemania,GERMANY,52243902.1,41683699.02,Trilla de café,32735428.229999997
1,Angola,ANGOLA,81840,39283.2,Elaboración de productos de panadería,81840
1,Antigua Y Barbuda,ANTIGUA Y BARBUDA,21830.519999999997,5097.5,Fabricación de otros artículos de papel y cartón,20494.85
1,Arabia Saudita,SAUDI ARABIA,35289161.54,14346058.88,Cría de ganado bovino y bufalino,27777452.44
1,Argelia,ALGERIA,3375634.91,602162.4199999999,Procesamiento y conservación de carne y productos cárnicos,2792070.5300000003
1,Argentina,ARGENTINA,14143768.9,6170814.98,Fabricación de productos de la refinación del petróleo,2174156
1,Armenia,ARMENIA,11314.77,1348,Cultivo de flor de corte,11314.77
1,Australia,AUSTRALIA,11382713.24,1692658.64,Trilla de café,9696968.82
1,Austria,AUSTRIA,320034.14999999997,56741.93,Fabricación de productos metálicos para uso estructural,169137.27
1,Azerbaiján,AZERBAIJAN,80486.52,7082.4,"Fabricación de otras bombas, compresores, grifos y válvulas",59701.8
1,Bahamas,BAHAMAS,365848.06,73074.04,Fabricación de equipo de elevación y manipulación,230833
1,Bahrein,BAHREIN,48771.46,4393,Cultivo de flor de corte,43554.06
1,Barbados,BARBADOS,876791.06,703630.64,"Fabricación de pilas, baterías y acumuladores eléctricos",114939.68000000001
1,Belarus,BELARUS,143792.01,11007.25,Cultivo de flor de corte,143732.01
1,Belice,BELIZE,64926.38,27711.41,Otros derivados del café,12484.94
1,Bolivia,BOLIVIA,6894870.04,2893994.1,"Fabricación de jabones y detergentes, preparados para limpiar y pulir; perfumes y preparados de tocador",1309456.3
1,Bosnia Y Herzegovina,BOSNIA AND HERZEGOVINA,9033,706,Cultivo de flor de corte,9033
1,Brasil,BRAZIL,149974699.38,432285002.98,Fabricación de productos de hornos de coque,55882645.5
1,Bulgaria,BULGARIA,642290.38,40636.3,Fabricación de maquinaria y equipo de oficina (excepto computadoras y equipo periférico),466222.75
1,Bélgica,BELGIUM,69451536.13,44190546.089999996,Trilla de café,47033816.64
1,Cabo Verde,CABO VERDE,48420,23508,"Elaboración de cacao, chocolate y productos de confitería",48420
