Pais,Pais_join,fob_total,kg_total,CIIU,fob_ciiu
Albania,ALBANIA,1729799.64,5874511.58,Fabricación de productos de hornos de coque,1186311
Alemania,GERMANY,864691892.81,1393734850.48,Trilla de café,448922265.29
Andorra,ANDORRA,10766.5,1513.64,Cultivo de flor de corte,10766.5
Angola,ANGOLA,1078490.4,388633.83,"Elaboración de cacao, chocolate y productos de confitería",340566.5
Anguilla,ANGUILLA,179041.76,42732.2,Fabricación de productos metálicos para uso estructural,164031.09
Antigua Y Barbuda,ANTIGUA Y BARBUDA,1884514.8,541941.09,"Fabricación de motores, generadores y transformadores eléctricos",649271.04
Arabia Saudita,SAUDI ARABIA,124992511.94,26035372.09,Trilla de café,79852544.53
Argelia,ALGERIA,34373492.04,24066565.35,Procesamiento y conservación de carne y productos cárnicos,18813075.86
Argentina,ARGENTINA,281044069.3,408313425.62,Fabricación de vehículos automotores y sus motores,67870993
Armenia,ARMENIA,771044.39,104293.8,Fabricación de artículos de plástico n.c.p.,607740.05
Australia,AUSTRALIA,199122624.35,18362049.74,Trilla de café,113646256.44
Austria,AUSTRIA,2598876.4,397304.63,Cultivo de flor de corte,996491.79
Azerbaiján,AZERBAIJAN,976896.41,250426.46,Fabricación de plásticos en formas primarias,667184.18
Bahamas,BAHAMAS,21388733.26,2215774.05,Fabricación de aparatos de distribución y control de la energía eléctrica,12586576.73
Bahrein,BAHREIN,1280609.36,482887.48,Cultivo de flor de corte,434361.25
Bangladesh,BANGLADESH,109940.17,378174.2,Recuperación de materiales,101112.45
Barbados,BARBADOS,11952172.14,8209460.89,Fabricación de otros productos elaborados de metal n.c.p.,1376621.23
Belarus,BELARUS,1856543.3,244937.62,Cultivo de flor de corte,1626811.7
Belice,BELIZE,3188274.56,488096.28,"Fabricación de motores, generadores y transformadores eléctricos",573779.2699999999
Benín,BENIN,1117991.03,448006.5,Fabricación de equipo de elevación y manipulación,1060142.16
Bolivia,BOLIVIA,87097183.56,30375462.43,"Fabricación de jabones y detergentes, preparados para limpiar y pulir; perfumes y preparados de tocador",12242531.12
Bosnia Y Herzegovina,BOSNIA AND HERZEGOVINA,183304.34,23799.87,Cultivo de flor de corte,183304.34
Brasil,BRAZIL,1785517094.24,5831887390.05,Fabricación de plásticos en formas primarias,548489711.63
Brunéi Darussalam,BRUNEI,7287.110000000001,27,Fabricación de otros tipos de maquinaria y equipo de uso especial n.c.p.,7287.110000000001
Bulgaria,BULGARIA,45688142.83,110511046.9,Extracción de petróleo crudo,35953000.69
Burundi,BURUNDI,103681,3549,"Fabricación de instrumentos, aparatos y materiales médicos y odontológicos (incluido mobiliario)",60000
Bélgica,BELGIUM,923397228.51,1151350123.11,Trilla de café,469131577.74
Cabo Verde,CABO VERDE,334826.23,294522.85,"Elaboración de cacao, chocolate y productos de confitería",180114.5
Camboya,CAMBODIA,433707.51,53307,Trilla de café,433707.51
Camerún,CAMEROON,5732471.369999998,10497655.71,Elaboración y refinación de azúcar,4511204.689999999
Canadá,CANADA,1631656811.97,1739469080.39,Industrias básicas de metales preciosos,781061925.62
Chad,CHAD,293286.44,79848,Fabricación de plásticos en formas primarias,222858
Chile,CHILE,984521135.9300001,4710684248.38,Extracción de hulla (carbón de piedra),357436879.28000003
China,CHINA,1063927320.37,1003049034.99,Industrias básicas de hierro y de acero,274103836.03000003
Chipre,CYPRUS,570476.45,551854.13,Fabricación de productos de la refinación del petróleo,511427.75
Colombia,COLOMBIA,13082478.46,456889.25,"Confección de prendas de vestir, excepto prendas de piel",2006087.3800000001
Comoras,COMOROS,47630.5,26115,"Elaboración de cacao, chocolate y productos de confitería",47630.5
Corea del Norte,NORTH KOREA,15225.5,2878,Cultivo de flor de corte,15225.5
Corea del Sur,SOUTH KOREA,816455245.04,7058452528.42,Extracción de hulla (carbón de piedra),477696755.27
Costa De Marfil,COTE D'IVOIRE,99882599.77,221288563.08,Extracción de petróleo crudo,89772285.72
Costa Rica,COSTA RICA,370121047.66,139393166.97,"Fabricación de jabones y detergentes, preparados para limpiar y pulir; perfumes y preparados de tocador",33240284.47
Croacia,CROATIA,29696900.27,338994583.04,Extracción de hulla (carbón de piedra),27228800.630000003
Cuba,CUBA,73162926.71,66249387.24,Elaboración de productos de panadería,16696770.459999999
Dinamarca,DENMARK,26372289.669999998,127427629.11,Trilla de café,13807984.9
Djibouti,DJIBOUTI,1647728.49,111323.01,"Fabricación de maquinaria para la elaboración de alimentos, bebidas y tabaco",1610105.89
Dominica,DOMINICA,1386034.87,479404.43,Fabricación de otros tipos de maquinaria y equipo de uso general n.c.p.,359849.61
Ecuador,ECUADOR,1776594814.69,663482183.57,"Fabricación de jabones y detergentes, preparados para limpiar y pulir; perfumes y preparados de tocador",172877640.58
Egipto,EGYPT,84507768.73,189127876.51,Cría de ganado bovino y bufalino,62883416.74
El Salvador,EL SALVADOR,242775091.64,68831454.9,"Fabricación de aeronaves, naves espaciales y de maquinaria conexa",45116882.71
Emiratos Árabes Unidos,UNITED ARAB EMIRATES,864070998.2099999,11628712.24,Industrias básicas de metales preciosos,765198628.98
Eslovaquia,SLOVAKIA,1365751.48,718551.4,"Procesamiento y conservación de pescados, crustáceos y moluscos",559436.5
Eslovenia,SLOVENIA,52279851.1,88986085.72,Cultivo de plátano y banano,41733992.3
España,SPAIN,728930690.83,1220479600.19,Fabricación de productos de la refinación del petróleo,161142438.28
Estados Unidos,UNITED STATES,11091767011.69,5205556763.83,Trilla de café,2260998417.91
Estonia,ESTONIA,17760226.56,2297136.25,Trilla de café,13620702.23
Etiopía,ETHIOPIA,5879022.47,754077.38,Actividades de impresión,3846582.78
Fidji,FIJI,212177.5,100347.51,"Elaboración de cacao, chocolate y productos de confitería",211344
Filipinas,PHILIPPINES,7500187.98,2050417.62,"Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico",2124040.99
Finlandia,FINLAND,87798595.34,102456222.97,Trilla de café,60600388.26
Francia,FRANCE,289902431.34,351027813.8,Trilla de café,91255788.63
Gabón,GABON,12069823.93,46770974.17,Fabricación de productos de hornos de coque,8691551.49
