Mes,Pais,Pais_join,Nivel tecnologico,fob_total,kg_total
1,Alemania,ALEMANIA,Bienes primarios,46723655.339999996,27083994.66
1,Alemania,ALEMANIA,Manufacturas basadas en recursos naturales,2592065.38,13996738.52
1,Alemania,ALEMANIA,Manufacturas de alta tecnología,355578.52,28755.09
1,Alemania,ALEMANIA,Manufacturas de baja tecnología,1491674.89,91115.85
1,Alemania,ALEMANIA,Manufacturas de tecnología media,1080924.77,483070.55
1,Alemania,ALEMANIA,Otras transacciones,3.2,24.35
1,Angola,ANGOLA,Manufacturas basadas en recursos naturales,81840,39283.2
1,Antigua Y Barbuda,ANTIGUA Y BARBUDA,Manufacturas de baja tecnología,20494.85,4697.5
1,Antigua Y Barbuda,ANTIGUA Y BARBUDA,Manufacturas de tecnología media,1335.67,400
1,Arabia Saudita,ARABIA SAUDITA,Bienes primarios,34539251.7,14295936.29
1,Arabia Saudita,ARABIA SAUDITA,Manufacturas basadas en recursos naturales,97416.17,13860
1,Arabia Saudita,ARABIA SAUDITA,Manufacturas de alta tecnología,34624.21,504.76
1,Arabia Saudita,ARABIA SAUDITA,Manufacturas de baja tecnología,607404.05,34903.83
1,Arabia Saudita,ARABIA SAUDITA,Manufacturas de tecnología media,10465.41,854
1,Argelia,ARGELIA,Bienes primarios,3367609.91,601162.4199999999
1,Argelia,ARGELIA,Manufacturas de tecnología media,8025,1000
1,Argentina,ARGENTINA,Bienes primarios,2591881.32,1206843.44
1,Argentina,ARGENTINA,Manufacturas basadas en recursos naturales,3023270.68,3158558.17
1,Argentina,ARGENTINA,Manufacturas de alta tecnología,803130.3,29528.7
1,Argentina,ARGENTINA,Manufacturas de baja tecnología,1965404.56,515182.56
1,Argentina,ARGENTINA,Manufacturas de tecnología media,5647663.79,1256783.44
1,Argentina,ARGENTINA,Otras transacciones,112418.25,3918.67
1,Armenia,ARMENIA,Bienes primarios,11314.77,1348
1,Australia,AUSTRALIA,Bienes primarios,10374254.709999999,1436889.65
1,Australia,AUSTRALIA,Manufacturas basadas en recursos naturales,460046.92,189211.84
1,Australia,AUSTRALIA,Manufacturas de alta tecnología,66635.92,3373.1000000000004
1,Australia,AUSTRALIA,Manufacturas de baja tecnología,208352.72,13261.37
1,Australia,AUSTRALIA,Manufacturas de tecnología media,273422.97,49922.68
1,Austria,AUSTRIA,Bienes primarios,80283.23,12195.5
1,Austria,AUSTRIA,Manufacturas basadas en recursos naturales,63759.649999999994,3201.69
1,Austria,AUSTRIA,Manufacturas de baja tecnología,169137.27,41219.74
1,Austria,AUSTRIA,Manufacturas de tecnología media,6854,125
1,Azerbaiján,AZERBAIJAN,Bienes primarios,17381.32,3545.4
1,Azerbaiján,AZERBAIJAN,Manufacturas de alta tecnología,3403.4,129
1,Azerbaiján,AZERBAIJAN,Manufacturas de tecnología media,59701.8,3408
1,Bahamas,BAHAMAS,Bienes primarios,3053.0699999999997,196
1,Bahamas,BAHAMAS,Manufacturas basadas en recursos naturales,27419.68,45382.03
1,Bahamas,BAHAMAS,Manufacturas de baja tecnología,81660.84999999999,5634.54
1,Bahamas,BAHAMAS,Manufacturas de tecnología media,253714.46,21861.469999999998
1,Bahrein,BAHREIN,Bienes primarios,48771.46,4393
1,Barbados,BARBADOS,Bienes primarios,12344.54,740.8
1,Barbados,BARBADOS,Manufacturas basadas en recursos naturales,467791.99,581274.69
1,Barbados,BARBADOS,Manufacturas de alta tecnología,114939.68000000001,36411.44
1,Barbados,BARBADOS,Manufacturas de baja tecnología,135636.91,54155.5
1,Barbados,BARBADOS,Manufacturas de tecnología media,146048.33000000002,31038.21
1,Barbados,BARBADOS,Otras transacciones,29.61,10
1,Belarus,BELARUS,Bienes primarios,143792.01,11007.25
